Date;00:30;01:00;01:30;02:00;02:30;03:00;03:30;04:00;04:30;05:00;05:30;06:00;06:30;07:00;07:30;08:00;08:30;09:00;09:30;10:00;10:30;11:00;11:30;12:00;12:30;13:00;13:30;14:00;14:30;15:00;15:30;16:00;16:30;17:00;17:30;18:00;18:30;19:00;19:30;20:00;20:30;21:00;21:30;22:00;22:30;23:00;23:30;24:00
02/05/2015;47690;44809;44182;43449;42797;40739;39635;38610;38258;38062;38732;39379;39678;39860;41053;42069;43846;45354;46705;47428;47959;48367;48760;49545;50446;51535;49806;48842;48080;46716;45746;45009;44543;43966;44260;44667;45498;46742;46924;46776;46324;46357;46818;46312;46762;49747;49390;48931
03/05/2015;47081;44179;43570;42564;41830;39719;38330;37309;36622;36282;36352;36348;36212;35840;36475;37204;38605;40088;41796;43001;44152;44914;45734;46727;47690;48333;46285;44774;43912;42680;41569;40687;40135;39645;39480;40087;40982;42308;43354;43732;43458;43835;44701;44657;45020;47754;47349;47221
04/05/2015;45276;42584;41853;41315;40799;38937;37945;37173;37266;37671;39420;41254;43643;45813;48614;50212;51805;52884;53480;53874;54131;54307;54433;55122;54943;55376;54438;54181;54039;52713;51699;50950;50421;49731;49325;49474;50396;51770;51909;51040;49570;48863;48826;48001;47888;50345;49937;49337
05/05/2015;47215;44231;43253;42650;41946;40123;39134;38267;37997;38335;39744;41403;43470;45680;48195;49929;51450;52508;53515;53701;54184;54339;54771;55346;54914;55171;54156;53637;53655;52412;51569;50692;50042;49410;48652;48929;49248;50437;50363;49757;48168;47473;48122;47897;48188;50729;50031;49718
06/05/2015;47515;44527;43967;43297;42807;40966;40097;39402;39113;39690;41139;42694;44746;47126;49486;51360;52796;53505;54099;54421;54676;54836;55192;55773;55494;55842;54709;54333;54139;52911;51633;50901;50193;49497;49044;49298;49567;50587;50764;49828;48722;48037;48617;48473;48705;51683;51030;50652
07/05/2015;48473;45537;44861;44290;43666;41961;41046;40432;40484;40737;42279;44019;45950;48426;51136;52596;53740;54493;54891;55079;55028;55003;55155;55462;55487;55857;54788;54150;53842;52615;51518;50604;49759;49137;48590;48631;48877;49645;49500;48924;47833;47080;47958;47849;48232;50865;50293;49757
08/05/2015;47371;44258;43517;42662;41772;39935;38746;37511;36971;36509;36926;37030;37125;37149;38219;39224;40561;42027;43333;44366;45143;45512;46029;47034;48127;48521;46718;45538;44863;43566;42539;41685;41080;40719;40613;41029;41706;42807;43164;43349;42664;42732;43482;43700;44285;47320;46981;46803
09/05/2015;44757;41957;41239;40360;39653;37708;36550;35614;35283;35164;35653;36073;36039;36326;37613;38628;40177;41592;43160;43829;44553;44828;45139;46020;47030;47704;46014;44801;44629;43301;42383;41531;40928;40333;40218;40521;41144;42085;42047;41678;40835;40691;41646;42189;43073;45978;45822;45843
10/05/2015;43808;41034;40361;39703;38898;37134;35771;34818;34264;33822;33987;33903;33472;33436;34274;35087;36223;37569;38912;39884;40716;41408;41957;42739;43793;44444;42659;41252;40584;39389;38479;37672;37211;36829;36756;37406;38248;39500;40395;40522;40231;40505;41728;42244;42641;45236;44964;44630
11/05/2015;42587;40013;39435;38810;38261;36666;35519;34886;34817;35431;36916;38569;40846;43506;46307;47888;49149;49955;50751;51217;51447;51806;52173;52975;52987;53698;52784;52633;52640;51501;50677;49879;49120;48599;47950;48116;48321;49248;49026;47960;46551;45723;46313;46175;46661;49075;48344;47781
12/05/2015;45474;42514;41690;41086;40390;38763;37585;36900;36729;37017;38241;39652;41630;44252;47057;48764;50224;51058;51666;52137;52616;53010;53490;54120;54070;54366;53258;53073;53177;52055;51307;50524;49478;49059;48271;48436;48579;49535;49251;48294;46751;45986;46227;46766;47094;49565;48837;48231
13/05/2015;45939;42881;42075;41470;40978;39283;38266;37438;37394;37764;39108;40338;42138;44610;47311;49164;50690;51337;52142;52157;52446;52821;53236;53771;53900;54234;53394;53131;53129;51997;51176;50399;49606;49051;48431;48456;48606;49150;48706;47997;46658;45690;46010;46214;46567;49475;48722;48022
14/05/2015;45585;42433;41534;40547;40106;38074;36964;35866;35148;34720;34741;34592;34387;34869;35874;36934;38312;39731;41289;42330;43243;44031;44641;45784;47012;47728;45746;44675;43994;42758;41951;41369;40670;40254;40421;41147;41938;43374;44069;43990;43311;43079;43377;43537;44326;46896;46700;46270
15/05/2015;43957;41426;40806;40093;39466;37779;36813;35973;35946;36085;37201;37911;39246;40674;42784;44288;45859;47123;48395;48911;49255;49876;50318;51273;51607;52064;50536;49603;49514;48364;47201;46404;45808;45522;45452;45894;46297;47253;47028;46520;45295;44892;45070;45337;46233;48897;48532;48038
16/05/2015;45940;43016;42590;41629;40719;38948;37742;36884;36404;36406;36956;37022;37095;37588;38681;39809;41467;42940;44726;45483;46298;46531;46993;47703;48604;49313;47751;46377;45957;44655;43636;42589;41884;41441;41279;41549;42111;42865;42988;42578;41786;41293;41850;42539;43555;46856;46516;46362
17/05/2015;44400;41692;40840;40062;39292;37477;36314;35229;34802;34323;34609;34246;33916;34174;34793;35735;37033;38229;39532;40657;41558;42066;42714;43576;44518;45163;43359;41927;41280;39813;38857;37996;37607;37142;37136;37640;38731;40166;41001;41227;40738;40704;41420;42204;43268;45992;45348;45356
18/05/2015;43250;40546;39944;39390;38884;37226;36224;35557;35701;36217;37929;39390;41838;44625;47278;49025;50233;51077;51745;52182;52327;52703;53018;53853;53663;53876;53091;52834;52809;51755;50727;50214;49623;49057;48539;48678;49307;50617;50525;49503;47884;46725;46686;46857;47377;50059;49303;48706
19/05/2015;46562;43513;43014;42398;41930;40263;39270;38592;38434;38950;40345;41415;43841;46658;49548;51103;52555;53203;53952;54218;54487;54706;55075;55784;55431;55634;54527;54048;54087;53019;52104;51337;50729;50189;49945;49929;50643;52052;51912;51153;49475;48262;47976;48280;48931;51638;50760;50492
20/05/2015;48191;45243;44602;43903;43527;41846;40867;40114;40150;40274;41860;43124;45409;48086;51243;53026;54246;54819;55593;55632;55793;56014;56287;57057;56918;57003;55922;55420;55264;54030;53019;52086;51459;50861;50077;50281;51162;52351;52151;51076;49567;48395;48369;48771;49646;52420;51556;51495
21/05/2015;49210;46372;45593;45113;44780;43021;41952;41272;41087;41400;43014;44064;46798;49613;52464;53985;54828;55203;55660;55821;55794;56063;56260;56741;56487;56739;55598;55022;54865;53566;52648;51949;51239;50372;49954;50187;50551;51915;51544;50560;48808;47782;47820;48183;49020;51884;51334;50969
22/05/2015;48835;45895;45141;44491;43922;42235;41171;40424;40399;40792;42314;43242;45675;48435;51440;52791;53751;54421;55064;55071;55175;55160;55115;55554;55385;55484;54126;53539;53210;51913;51014;49915;49098;48364;48078;48248;48600;49365;48873;48252;46967;46058;46187;46902;47970;50777;50015;49546
23/05/2015;47107;44164;43218;42165;41730;39398;38407;37282;36957;36676;36909;36899;37138;37926;39162;40463;42184;43688;45195;46063;46630;46709;47037;47738;48578;49085;47492;46104;45609;44424;43357;42371;41803;41293;41233;41572;42227;42996;43196;42877;41992;41483;41616;42268;43775;46852;46466;46335
24/05/2015;44465;41576;40823;39966;39128;37133;35796;34814;34098;33793;33932;33342;33030;33282;34168;34996;36436;37793;39182;39996;40830;41393;41960;42488;43432;44115;42249;40843;40390;39029;38347;37499;37065;36600;36645;37050;37921;38901;39681;39966;39667;39737;40149;41008;42331;45417;44860;44771
25/05/2015;42642;39680;39071;38329;37624;35735;34675;33715;33414;33228;33488;33382;33399;33962;35040;36169;37801;39300;40905;42310;43249;43972;44611;45740;46544;47077;45563;44400;43892;42609;41618;41060;40442;40075;40119;40868;41824;43352;43905;43542;42778;42182;42492;42848;44154;46944;46317;45838
26/05/2015;43885;41257;40553;39932;39422;37738;36744;35887;35959;36504;38151;39254;41991;44891;47742;49473;50945;51938;52899;53225;53541;53859;54250;54921;54589;54804;53908;53511;53420;52378;51480;50887;50183;49568;49188;49241;49882;50792;50502;49428;47979;46512;46174;46483;47385;50079;49296;48988
27/05/2015;46566;43505;42888;42300;41752;39996;39135;38395;38453;38790;40097;40917;43195;45893;48674;50274;51643;52518;53147;53566;53677;54087;54245;54717;54727;54892;53910;53459;53700;52362;51492;50733;50117;49414;48923;48902;49352;50229;50119;49035;47505;46325;46274;46685;47586;50211;49441;48942
28/05/2015;46692;43756;43104;42371;41909;40034;39258;38435;38209;38472;39680;40623;42974;45881;48540;50094;51442;52065;52908;53418;53628;53910;54273;54703;54624;54948;54060;53805;53682;52803;51893;51165;50561;49824;49488;49351;50020;50833;50482;49387;47740;46372;46385;46563;47526;50232;49578;49040
29/05/2015;46761;43690;42829;42166;41732;39973;39059;38251;38070;38347;39563;40299;42674;45419;48319;49831;51350;52341;53045;53191;53452;53676;54228;54401;54377;54614;53267;52927;52911;51600;50759;49850;49151;48506;48368;48464;48922;49535;48998;48324;46675;45594;45477;45889;47122;49800;49098;48490
30/05/2015;46043;42933;42112;41361;40479;38592;37384;36351;35948;35674;36022;35604;36167;36884;38219;39524;41091;42711;44226;45103;45460;45782;46071;46928;47791;48350;46763;45651;45252;44060;43034;42218;41630;41130;40986;41303;41698;42351;42428;41917;41004;40329;40548;41379;43136;46330;46132;45873
31/05/2015;43764;40850;40057;39148;38342;36282;35126;34070;33496;33112;32905;32297;32122;32411;33194;34173;35524;37088;38771;39986;41040;41701;42393;43252;44532;44941;43213;41802;41204;39980;39196;38661;38181;37858;38026;38607;39526;40833;41821;41915;41507;41264;41501;42099;43273;46086;45483;45146
01/06/2015;43164;40354;39761;39163;38543;36889;35871;35239;35289;35915;37479;38638;41251;44166;47025;48842;50440;51430;52371;52802;53135;53548;53655;54169;54027;54613;53945;53519;53322;52160;51303;50527;49913;49225;48741;48795;49349;50556;50242;49200;47496;46258;45922;46175;47339;49972;49399;48767
02/06/2015;46102;43194;42508;41872;41181;39722;38465;37713;37510;38010;39146;39902;42369;45335;48205;49865;51475;52250;53164;53710;53968;54368;54722;55504;55057;55341;54515;54131;54296;53117;52607;51860;51448;50857;50349;50495;50883;51685;51139;49860;48257;46724;46348;46663;47864;50641;49860;49308
03/06/2015;46694;43464;42743;41983;41365;39637;38571;37824;37637;37871;38971;39847;42148;44801;47749;49787;51332;52403;53221;53689;54509;55035;55300;55969;55800;55873;55274;54962;55159;54075;53341;52572;51948;51405;51051;50810;50892;51755;51247;50189;48493;47059;46539;46834;48338;51273;50294;49788
04/06/2015;47015;44028;43249;42373;42012;40127;39274;38432;38228;38465;39464;40167;42662;45481;48143;49884;51140;52163;53182;53738;54189;54530;54942;55605;55424;55937;55140;54882;55220;54308;53688;53013;52380;51882;51336;51417;51562;52378;51644;50473;48733;47193;46633;47128;48688;51433;50525;49831
05/06/2015;47271;43906;43190;42310;41851;39988;38978;38169;37976;38076;39273;39946;42136;44758;47614;49451;50931;52321;53603;54288;54860;55326;55905;56433;56421;56832;55845;55309;55528;54432;53591;52842;52064;51393;50911;51003;50749;50975;50157;49058;47259;46093;45583;45934;47402;50260;49510;48655
06/06/2015;46066;42806;41633;40907;40166;38137;36949;35982;35530;35272;35312;34817;35365;36177;37505;38837;40570;42343;43849;44767;45378;45677;46145;46845;47803;48516;47157;46128;45843;45033;44091;43455;42972;42565;42415;42598;42799;43355;43194;42499;41407;40717;40479;41162;43011;46339;45679;45307
07/06/2015;43015;40151;39386;38564;37700;35704;34576;33625;33129;32877;32429;31884;31769;32024;32946;33837;35143;36644;38149;39212;40240;41002;41547;42402;43405;44197;42435;41429;41065;39988;39197;38571;38231;37954;38152;38684;39453;40497;41347;41329;40838;40817;40771;41264;43028;45918;45044;44442
08/06/2015;42240;39331;38703;38041;37535;35971;35116;34452;34499;35091;36493;37465;39832;42624;45400;47066;48764;49905;51157;51709;52219;52746;53158;53979;53929;54203;53416;53321;53533;52524;51831;51120;50600;49927;49477;49376;49683;50695;50246;49029;47222;45928;45170;45432;46697;49534;48654;47903
09/06/2015;45311;42414;41775;41120;40666;39152;38054;37381;37401;37718;38733;39419;41646;44512;47228;49044;50308;51356;52124;52679;53074;53534;54052;54697;54447;54820;53862;53641;53837;52868;52111;51467;50714;50218;49754;49678;49925;50790;50389;49306;47538;46100;45516;45500;46976;49732;48934;48123
10/06/2015;45654;42685;42004;41256;40735;39215;38385;37753;37522;37981;38766;39575;41695;44428;46963;48851;50276;51435;52284;52696;52777;53349;53886;54585;54697;54608;53875;53691;53903;52970;52107;51472;50756;50473;49982;50170;50425;51336;50826;49593;47851;46467;45846;45781;47337;50028;49180;48480
11/06/2015;46205;43156;42505;41813;41255;39581;38463;37818;37658;38025;38999;39643;41915;44502;47361;49000;50633;51388;52762;53307;53705;54449;55015;55660;55450;55899;55007;54877;55124;54318;53672;52936;52322;51935;51237;51359;51334;51881;51277;49818;48295;46703;46203;46266;47719;50412;49624;48734
12/06/2015;46119;43188;42395;41823;41119;39369;38379;37557;37592;37774;38629;39315;41551;44221;47004;48764;50300;51566;52721;53302;53790;54427;54823;55376;55227;55221;53882;53359;53626;52580;51672;50708;49903;49493;48936;49110;48985;49505;48773;47662;46045;44864;44306;44238;45904;49000;48063;47278
13/06/2015;44685;41663;40669;40006;39209;37228;36356;35410;34969;34771;34794;34451;34887;35664;36884;38139;39794;41629;43081;44149;44848;45271;45828;46655;47277;47869;46456;45301;45211;44185;43370;42665;42065;41543;41432;41854;42157;42926;42432;41736;40681;39889;39698;40010;41987;45322;44920;44661
14/06/2015;42395;39600;38948;38149;37275;35429;34221;33166;32588;32411;32036;31469;31350;31755;32350;33233;34512;35833;37476;38729;39723;40755;41611;42490;43635;44269;42532;40971;40595;39608;38864;38227;37893;37782;37749;38293;39084;40493;41095;41122;40732;40551;40243;40683;42157;45045;44378;43845
15/06/2015;41656;38888;38392;37660;37263;35487;34594;33920;34063;34757;36138;37010;39390;42148;44968;46893;48767;49744;50938;51630;51952;52583;52833;53653;53514;53915;52868;52734;52812;51812;51061;50614;49756;49276;48897;48867;49258;50346;49762;48516;46823;45380;44487;44450;46039;48756;48061;47498
16/06/2015;44792;41910;41190;40579;40061;38466;37526;36853;36764;37105;37943;38865;41005;43650;46649;48318;49907;50850;52062;52401;52815;53184;53743;54268;53945;54168;53189;53189;53283;52250;51618;50937;50107;49756;49263;49267;49383;50292;49835;48649;46952;45464;44611;44600;46115;48953;48218;47540
17/06/2015;44906;42034;41338;40647;40285;38553;37702;36894;36827;37187;37899;38895;41086;43689;46407;48304;49916;50739;51983;52442;52693;53328;53729;54338;54400;54437;53783;53698;53983;52737;52050;51506;50775;50171;49779;49943;50228;50547;49944;49146;47177;45897;45256;45239;46897;50085;48940;48498
18/06/2015;45881;42785;42117;41287;40765;39206;38363;37537;37248;37512;38462;39245;41472;44257;47050;48918;50380;51346;52296;53182;53753;54156;54619;55130;54889;55088;54218;54062;54312;53248;52658;51716;51284;50764;50231;50322;50440;51380;50536;49162;47645;46015;45418;45325;46777;49710;48881;48064
19/06/2015;45515;42591;41937;41101;40603;39007;38238;37389;37177;37466;38290;38979;41183;43805;46434;48036;49578;50770;51836;52206;52675;52923;53208;53791;53596;53852;52566;52261;51959;50907;50153;49272;48823;48241;48077;48488;48628;48474;47686;46787;45191;44112;43822;43973;45408;48665;48063;47233
20/06/2015;44643;41706;40737;39864;39248;37254;36342;35322;34940;34708;34862;34432;34798;35660;36698;38071;39675;41488;42881;43808;44437;44770;45299;46336;47054;47616;45961;44973;44664;43645;42750;42299;41715;41375;41322;41601;42115;42567;42418;41720;40711;40002;40028;40363;41983;45363;45081;44829
21/06/2015;42665;39767;39000;38276;37369;35488;34264;33415;32822;32376;32051;31239;31173;31572;32316;33215;34579;36040;37639;38818;39854;40678;41453;42328;43331;43864;42312;40961;40572;39640;38897;38372;37699;37642;37859;38201;38937;40065;40571;40557;40237;39945;40147;40536;42300;45578;44922;44446
22/06/2015;42261;39311;38654;38101;37372;35795;35044;34485;34406;35045;36230;36985;39514;42028;44747;46697;48471;49700;50909;51520;52055;52709;53161;53947;53897;54268;53688;53708;53880;52951;52264;51755;50974;50621;50214;50325;50708;51673;51362;49960;48232;46737;46013;45804;47022;49980;49132;48397
23/06/2015;45553;42531;41892;41299;40786;39114;38322;37535;37311;37766;38810;39570;41465;44129;46917;48785;50173;51267;52315;52703;53078;53570;54033;54875;54461;54849;54090;54322;53852;53192;52232;51666;50944;50236;50015;49801;50088;50847;50423;49086;47490;46213;45462;45428;46866;50209;49271;48473
24/06/2015;45974;42817;42083;41547;40993;39089;38266;37464;37393;37624;38652;39373;41363;43666;46502;48629;50143;51303;52374;52737;53145;53606;54058;54799;54723;54797;54052;54078;54236;53149;52414;51643;51115;50534;50022;49973;50185;50928;50784;49660;47873;46501;46077;46145;47399;50654;49712;49004
25/06/2015;46321;43320;42458;41756;41194;39524;38374;37741;37476;37777;38608;39251;41467;43785;46851;48527;49952;51189;52179;52986;53482;54006;54572;55232;55282;55588;54798;54802;55019;54123;53367;52706;52131;51491;51191;50987;51133;51845;51116;49965;48395;47090;46622;46472;47984;51097;50183;49476
26/06/2015;46641;43468;42564;41865;41233;39489;38602;37931;37709;38091;38831;39379;41324;43561;46310;48261;49893;51044;52584;53194;53941;54670;55020;55639;55737;56178;55149;54912;55000;54256;53334;52842;52128;51640;50924;50913;50640;50854;49851;48884;47313;46164;45918;45890;47618;50691;49918;49238
27/06/2015;46313;43153;42185;41273;40357;38574;37435;36397;35909;35703;35683;35305;35740;36418;37522;38875;40473;42315;43952;44916;45488;45822;46428;47170;48077;48701;46962;46157;45995;45175;44290;43750;43203;42799;42718;43153;43566;44032;43613;42959;41864;41093;40928;41167;43278;46701;46386;45870
28/06/2015;43482;40543;39997;39034;38330;36324;35277;34333;33772;33375;32952;32191;31918;32375;33116;34121;35471;36931;38487;39744;40874;41744;42417;43266;44240;44918;43441;42390;41989;41184;40362;40121;39524;39576;39610;40018;40749;41706;42341;42460;42174;42069;42076;42641;44275;47455;46606;45656
29/06/2015;43348;40405;39723;38962;38332;36616;35765;35234;35221;35690;37050;37835;39917;42558;45130;47244;49058;50255;51611;52478;53154;53927;54536;55181;55483;55894;55165;55306;55935;54801;54017;53509;52882;52362;51860;52336;52538;52831;52269;51139;49543;48226;47667;47538;48977;52134;51129;49931
30/06/2015;46947;43898;43114;42530;41743;40293;39326;38625;38573;38760;39755;40325;42277;44683;47348;49558;51236;52429;53734;54716;55275;55982;56585;57151;57227;57583;56771;56851;57258;56424;55862;55162;54726;54235;53789;53645;53921;54315;53345;52460;50647;49316;48709;48403;49842;52232;50965;49712
01/07/2015;46595;43497;42715;42099;41712;40032;39819;39206;38888;39323;40234;41013;42768;44948;47488;49540;51498;53085;54672;55409;56274;56840;57620;58293;58237;58542;57638;57808;58022;57349;56323;55889;55240;54521;54165;54020;53944;54267;53257;52448;50760;49654;49123;49013;50564;53504;52304;51201
02/07/2015;48162;45102;44194;43243;42750;41093;40153;39451;39291;39651;40681;41271;43249;45407;48024;49980;51573;53191;54452;55330;56157;56690;57259;58007;57993;58278;57491;57436;57743;56640;56196;55727;55171;54518;54125;54106;53844;54231;53288;52167;50694;49405;48813;48660;50357;53314;51778;50813
03/07/2015;47940;44740;43867;43237;42647;41145;40253;39713;39498;39723;40964;41361;43116;45309;47787;49794;51307;52741;54175;55133;55846;56254;56936;57742;57706;58092;57252;57125;57328;56642;55689;55241;54620;54162;53874;54091;53745;53668;52585;51536;50043;48918;48382;48447;50002;53073;52245;50958
04/07/2015;47793;44617;43792;42948;42073;40299;39215;38337;37884;37449;37523;37104;37398;38205;39413;40708;42489;44287;45845;46868;47719;48399;48899;49536;50290;50696;49286;48711;48723;47864;47189;46740;46296;45993;45934;46206;46521;46731;46204;45391;44317;43579;43221;43539;45340;48648;47811;46809
05/07/2015;44240;41346;40470;39776;38873;37232;36181;35355;34821;34553;34186;33500;33309;33656;34390;35299;36554;37866;39227;40456;41410;42254;43301;44036;45005;45822;44297;43418;43157;42386;41687;41250;40985;40609;40803;41146;41695;42496;43014;43084;42725;42562;42644;43109;45000;48133;47023;46026
06/07/2015;43488;40406;39699;38941;38573;37152;36429;35852;36054;36726;38053;38875;40823;42812;45139;47036;49165;50641;52233;53125;53958;54771;55404;56168;56336;56609;56074;56383;56844;55841;55279;54922;54247;53890;53465;53414;53136;53715;53104;52200;50758;49467;48841;48744;50354;53157;51668;50381
07/07/2015;47503;44563;43727;42949;42428;40853;40120;39455;39358;39547;40601;41261;42942;44777;47218;49034;51139;52786;54464;55301;56163;56799;57423;58219;57910;58193;57244;57507;57689;56628;55857;55392;54703;54156;53619;53455;53379;53751;52914;51831;50171;48700;48303;48340;49754;52588;51029;50045
08/07/2015;47300;44147;43432;42701;42431;40895;40141;39425;39361;39545;40820;41266;42756;44872;46978;48793;50628;51965;53044;53781;54506;54916;55500;56091;55792;56046;55151;55039;55212;54262;53619;52921;52404;51850;51208;51190;51497;51961;51209;50424;48649;47572;47071;47053;48323;51269;49993;49122
09/07/2015;46489;43659;42631;42055;41698;40235;39411;38850;38841;39124;40169;40687;42122;44250;46558;48359;49906;50941;52305;53203;53763;54179;54824;55283;55244;55546;54623;54885;55038;53971;53437;52975;52368;51851;51451;51163;51112;51744;51037;49994;48673;47228;46926;46727;48424;51551;50335;49211
10/07/2015;46434;43582;42958;42196;41620;39938;39267;38662;38442;38633;39730;40374;41736;43560;45792;47553;49372;50753;52106;52811;53440;54081;54499;54910;55077;55431;54531;54549;54798;53775;53222;52556;51960;51481;51019;51106;50904;51082;50318;49506;47801;46693;46328;46520;48158;51120;50152;48978
11/07/2015;46196;43173;42376;41333;40719;38964;37976;37250;36684;36616;36811;36429;36537;37247;38298;39429;40765;42679;44300;45213;46149;46597;47034;47714;48586;49200;47741;46995;46975;46268;45446;44904;44355;43976;44026;44252;44505;44807;44504;43877;42674;42000;41718;42240;43967;46962;46241;45486
12/07/2015;43192;40545;39850;39133;38333;36641;35517;34793;34336;34106;33899;33306;32913;32924;33821;34546;35908;37118;38519;39536;40616;41366;41816;42850;43926;44503;42884;42017;41754;40972;40140;39672;39386;39145;39285;39681;40187;41018;41511;41624;41385;41186;41417;41997;43513;46499;45519;44944
13/07/2015;42325;39752;39104;38496;37979;36499;35625;35167;34979;35382;36307;36458;37386;38655;40224;41966;43540;45119;46468;47414;48214;48862;49404;50329;50875;51363;50250;50069;50151;49392;48636;48217;47691;47283;47092;47188;47309;47805;47178;46507;44968;43857;43405;43592;45102;47881;47028;46541
14/07/2015;44339;41609;40881;40229;39559;37901;36997;36070;35575;35274;35277;34728;34425;34760;35399;36309;37597;38980;40559;41849;42756;43633;44471;45465;46540;47146;45816;44850;44569;43691;43005;42682;42341;42031;42187;42562;43032;43758;44016;43745;43129;42606;42639;43117;44610;47351;46478;46097
15/07/2015;43780;40996;40344;39624;39033;37500;36722;36147;36306;36889;38416;39052;40874;42533;44752;46684;48831;50381;51860;53070;53847;54622;55362;56251;56326;56624;56052;56062;56544;55705;54917;54482;53977;53342;52822;52818;52694;53397;52652;51706;50131;48822;48132;48410;49828;52512;51243;50023
16/07/2015;47401;44239;43425;42859;42257;40503;39960;39151;39076;39348;40351;41013;42459;44293;46386;48206;50200;51715;53291;54312;55186;56167;56940;57637;57687;58099;57236;57479;57860;57089;56261;55652;54821;54468;54132;53866;53862;54079;53252;52143;50521;49219;48845;48895;50131;52667;51660;50436
17/07/2015;48109;45186;44167;43494;42979;41108;40322;39666;39598;39848;41039;41676;43050;44818;46691;48594;50558;52028;53410;54241;55080;55656;56206;56773;56729;57027;56221;56338;56533;55744;54880;54142;53554;53044;52434;52450;52204;52283;51065;50225;48730;47563;47076;47520;49062;51494;50291;49226
18/07/2015;46591;43582;42632;41845;41090;39185;38063;37456;37005;36695;37035;36709;36748;37211;38218;39267;40826;42415;44011;44971;45999;46572;47039;47928;48655;49417;48042;47349;47424;46649;45979;45608;45058;44677;44535;44846;44988;45496;45000;44192;43164;42107;42102;42610;44306;46946;46091;45224
19/07/2015;42891;39958;39208;38505;37788;36048;35015;34301;33901;33738;33683;33200;32810;32872;33493;34287;35526;36903;38212;39445;40387;41251;42091;42907;44086;44762;43214;42283;42189;41212;40551;40019;39802;39497;39697;40080;40775;41704;42093;42439;42148;41880;42093;42772;44503;47060;46098;45383
20/07/2015;42779;39909;39254;38560;38146;36636;36150;35545;35794;36354;37872;38833;40338;42001;44402;46458;48663;50293;51796;52712;53531;54344;54949;55685;55843;56207;55447;55625;56037;55076;54434;53847;53173;52517;51654;51545;51812;52495;51914;51246;49476;47882;47418;47783;49380;51795;50605;49553
21/07/2015;46676;43744;42989;42359;41659;40029;39432;38764;38623;39144;40154;40812;42209;43885;46051;48054;50100;51746;53337;54270;55120;55799;56408;57250;57272;57647;56778;56936;57421;56439;55552;55294;54501;54003;53461;53494;53062;53433;52537;51639;49748;48412;47893;48385;49779;52210;51057;49900
22/07/2015;47036;44023;43136;42669;42240;40446;39631;39154;39018;39242;40371;41046;42067;43945;45984;47956;49955;51628;53215;54210;54848;55670;56081;56811;56799;57105;56064;56141;56204;55355;54566;53860;53365;52685;52152;51986;52022;52414;51631;50431;48891;47396;46976;47140;48581;51110;49909;48663
23/07/2015;46019;43219;42643;42034;41549;39961;39020;38519;38411;38578;39910;40720;41942;43542;45571;47398;49296;50652;51904;52765;53516;54209;54903;55627;55648;55771;55011;55106;55525;54603;53820;53263;52719;52152;51575;51639;51473;51816;51095;50081;48446;47059;46777;47327;48656;51110;50055;48847
24/07/2015;46171;43035;42230;41682;41065;39552;38666;37993;38057;38266;39395;40134;41155;42731;44661;46542;48413;49903;51424;52596;53181;53875;54610;55250;55270;55521;54434;53868;54308;53586;52763;52141;51338;50599;50073;49938;49876;49968;49158;48246;46740;45823;45619;46234;47310;49661;48479;47524
25/07/2015;44790;41822;41105;40304;39713;37870;36970;35922;35655;35514;35852;35993;35962;36143;37164;38263;39614;41146;42651;43691;44365;44821;45346;46100;46780;47239;45952;45041;44933;44043;43185;42744;42048;41732;41628;41883;42249;42768;42457;41981;40749;40018;39960;40951;42517;45323;44592;43861
26/07/2015;41504;38748;38157;37257;36712;35078;33999;33208;32860;32558;32545;32299;31513;31665;32201;33029;34193;35429;36832;38074;39126;39971;40948;41844;42899;43734;41984;40943;40664;39713;38944;38291;37984;37668;37980;38457;39161;40120;40814;41039;40423;40248;40581;41411;42461;45123;44206;43374
27/07/2015;41154;38540;37988;37254;36734;35311;34630;34152;34142;34777;36190;37361;38555;40241;42206;44095;45979;47606;49040;49868;50588;51141;51721;52392;52524;52640;51819;51621;51717;50845;50136;49504;48678;48253;47652;47689;47836;48582;48250;47459;45880;44564;44435;44964;45805;48367;47448;46530
28/07/2015;44066;41093;40426;39678;39237;37683;36847;36122;36082;36438;37565;38563;39703;41073;43074;45023;46887;48266;49588;50459;50986;51680;52095;52725;52710;52852;52093;51840;51930;51039;50195;49687;49050;48547;48123;48167;48389;49182;48949;48027;46582;45304;44915;45321;46100;48542;47582;46629
29/07/2015;44123;41258;40449;39885;39313;37859;36896;36402;36279;36561;37736;38680;39876;41179;43302;45051;47025;48352;49635;50331;50886;51489;52076;52765;52809;52955;51889;51573;51849;50650;49763;49250;48520;48025;47594;47386;47575;48288;47868;46937;45503;44324;44090;44685;45614;48057;47029;46203
30/07/2015;43759;40920;40095;39544;39054;37550;36749;36010;35980;36433;37402;38371;39583;40804;42814;44661;46223;47716;48831;49495;50109;50589;51301;51786;51571;51817;51000;50722;50846;49763;48773;48239;47444;46995;46543;46506;46854;47478;46978;46097;44593;43549;43585;44306;45246;47744;46903;46071
31/07/2015;43566;40798;40085;39302;38834;37168;36304;35554;35521;35797;36847;37861;38903;40123;42032;43617;45374;46698;47772;48570;49038;49577;49881;50447;50417;50732;49656;49330;49441;48242;47243;46552;45867;45302;44970;45137;45400;45806;45262;44529;43297;42490;42571;43040;43839;46473;45635;44767
